C1;H1;10.58;0.5;1.0
C2;H2;-2.65;0.5;1.0
C2;C10;-2.14;0.5;1.0
C3;H3;-10.59;0.5;1.0
C4;H4a;6.06;0.5;1.0
C4;H4s;-7.53;0.5;1.0
C5;H5;-26.78;0.5;1.0
C6;C8;2.44;0.5;1.0
C6;C9;-0.90;0.5;1.0
C7;H7a;18.39;0.5;1.0
C7;H7s;13.08;0.5;1.0
H1;H2;10.54;0.5;1.0
H1;H3;1.68;0.5;1.0
H1;H4a;0.79;0.5;1.0
H1;H4s;0.37;0.5;1.0
H1;H5;-1.51;0.5;1.0
H1;H7a;1.30;0.5;1.0
H1;H7s;-7.64;0.5;1.0
H2;H3;-1.01;0.5;1.0
H2;H4a;-2.27;0.5;1.0
H2;H4s;-1.21;0.5;1.0
H2;H7a;-10.04;0.5;1.0
H2;H7s;-0.73;0.5;1.0
H3;H4a;-4.59;0.5;1.0
H3;H4s;-12.39;0.5;1.0
H3;H5;-0.98;0.5;1.0
H3;H7a;-0.63;0.5;1.0
H3;H7s;0.14;0.5;1.0
H4a;H4s;-4.56;0.5;1.0
H4a;H5;8.22;0.5;1.0
H4a;H7a;2.46;0.5;1.0
H4a;H7s;2.90;0.5;1.0
H4s;H5;3.55;0.5;1.0
H4s;H7a;-0.43;0.5;1.0
H4s;H7s;0.66;0.5;1.0
H5;H7a;-2.58;0.5;1.0
H5;H7s;-1.69;0.5;1.0
H7a;H7s;27.08;0.5;1.0
